:START_ID,type:TYPE,:END_ID,properties
Policy,tests_on,SurrogateModel,"{""condition"": ""training condition (M∞=0.76, CL=0.70, Re=5×10^6, tmax=0.095)""}"
Policy,is_tested_by,ComputationalFluidDynamics,"{""description"": ""Policy tested in CFD environments for baseline performance""}"
Policy,tests_on,TestingSet,"{""description"": ""Tested on 35 airfoils from sample set No. 4""}"
Policy,reduces,DragCoefficient,"{""value"": ""2.77 counts average reduction in training condition""}"
Policy,focuses_on,ShockWave,"{""description"": ""Policy focuses on modifying shock wave region based on pretraining""}"
Policy,modifies,Airfoil,"{""steps"": ""5 steps per airfoil during testing""}"
Policy,uses_feature,WallMachNumberDistribution,"{""description"": ""Uses wall Mach number distribution features as state parameters""}"
Policy,transfers_to,TestCondition,"{""description"": ""Policy tested in 6 different flow conditions for transfer applications""}"
Policy,reduces,DragReduction,"{""value"": ""8.64 counts average reduction across 6 test conditions""}"
Policy,is_based_on,ReinforcementLearning,"{""description"": ""Policy learned using reinforcement learning (proximal policy optimization)""}"
Policy,initialized_by,ImitationLearning,"{""description"": ""Policy pretrained through imitation learning for good initial policy""}"
ReinforcementLearning,trains_on,SurrogateModel,"{""description"": ""Reinforcement learning uses surrogate models to reduce computational costs""}"
ReinforcementLearning,improves,DragReduction,"{""value"": ""Increased from 1.34 to 5.53 counts average reduction""}"
Policy,depends_on,SurrogateModel,"{""description"": ""Policy performance improves when more accurate surrogate models are used""}"
Policy,applies_to,SupercriticalAirfoil,"{""description"": ""Policy designed for drag reduction of supercritical airfoils""}"
Policy,is_designed_for,DragReduction,"{""description"": ""Policy learns to reduce drag of supercritical airfoils""}"
TestingSet,contains,Airfoil,"{""count"": ""35 airfoils from sample set No. 4""}"
TrainingCondition,has_property,FlowCondition,"{""parameters"": ""M∞=0.76, CL=0.70, Re=5×10^6, tmax=0.095""}"
WallMachNumberDistribution,is_part_of,FlowField,"{""description"": ""Wall Mach number distribution is a feature of the flow field""}"
ShockWave,affects,DragCoefficient,"{""description"": ""Policy weakens shock wave to reduce drag coefficient""}"
Designer,guided_by,FlowField,"{""description"": ""Designers modify airfoils based on observations of physical features of flow field""}"
ReinforcementLearning,learns_from,Designer,"{""description"": ""Reinforcement learning learns general experiences similar to designers""}"
